metric,value_2022,value_2023,value_2024,unit
Net interest income,1551,2174,2504,€ million
Net banking fee and commission income,448,447,561,€ million
Operating income,3135,2914,3339,€ million
Operating expenses,-910,-906,-1090,€ million
Profit from operations before impairments,2225,2008,2249,€ million
Impairment losses on loans,-292,-413,-305,€ million
Profit before tax,1741,1550,1878,€ million
Net profit attributable to shareholders,1336,1148,1458,€ million
